instanceType,instanceFamily,instanceFamilyName,processor,processorFeatures,vCpus,vCpuCores,vCpuThreadsPerCore,memorySizeInMiB,memorySizeInGiB,storage,storageTotalSizeInGB,networkPerformance,gpuTotalGpuMemoryInMiB,gpuTotalGpuMemoryInGiB,gpuCount,gpuName,gpuMemorySizeInMiB,onDemandLinuxHr,onDemandLinuxMonth,spotLinuxHr,spotLinuxMonth,processorClockSpeedInGhz,location,locationName,locationType,locationContinent,storageSupported,gpuManufacturer,currentGeneration,supportedUsageClasses,supportedRootDeviceTypes,supportedVirtualizationTypes,bareMetal,hypervisor,processorArchitectures,processorManufacturer,storageNvmeSupport,storageEncryptionSupport,ebsOptimizedSupport,ebsEncryptionSupport,ebsOptimizedBaselineBandwidthInMbps,ebsOptimizedBaselineThroughputInMBps,ebsOptimizedBaselineIops,ebsOptimizedMaxBandwidthInMbps,ebsOptimizedMaxThroughputInMBps,ebsOptimizedMaxIops,ebsNvmeSupport,onDemandSuseHr,onDemandSuseMonth,onDemandRhelHr,onDemandRhelMonth
c5a.8xlarge,c5a,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",32.0,16.0,2.0,65536.0,64.0,"EBS only",0.0,"10 Gigabit",0.0,0.0,0,"","",1.232,899.36,0.4992,364.42,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,"","",default,supported,3170.0,396.0,13300.0,3170.0,396.0,13300.0,required,1.357,990.61,1.578,1151.94
c5a.large,c5a,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",2.0,1.0,2.0,4096.0,4.0,"EBS only",0.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.077,56.21,0.0278,20.29,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,"","",default,supported,200.0,25.0,800.0,3170.0,396.0,13300.0,required,0.133,97.09,0.106,77.38
c5a.xlarge,c5a,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",4.0,2.0,2.0,8192.0,8.0,"EBS only",0.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.154,112.42,0.0606,44.24,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,"","",default,supported,400.0,50.0,1600.0,3170.0,396.0,13300.0,required,0.21,153.3,0.212,154.76
c5ad.12xlarge,c5ad,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",48.0,24.0,2.0,98304.0,96.0,"2 x 900 NVMe SSD",1800.0,"12 Gigabit",0.0,0.0,0,"","",2.064,1506.72,0.7965,581.44,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,required,required,default,supported,4750.0,594.0,20000.0,4750.0,594.0,20000.0,required,2.189,1597.97,2.582,1884.86
c5ad.16xlarge,c5ad,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",64.0,32.0,2.0,131072.0,128.0,"2 x 1200 NVMe SSD",2400.0,"20 Gigabit",0.0,0.0,0,"","",2.752,2008.96,0.9347,682.33,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,required,required,default,supported,6300.0,788.0,26700.0,6300.0,788.0,26700.0,required,2.877,2100.21,3.443,2513.39
c5ad.24xlarge,c5ad,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",96.0,48.0,2.0,196608.0,192.0,"2 x 1900 NVMe SSD",3800.0,"20 Gigabit",0.0,0.0,0,"","",4.128,3013.44,1.3334,973.38,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,required,required,default,supported,9500.0,1188.0,40000.0,9500.0,1188.0,40000.0,required,4.253,3104.69,5.165,3770.45
c5ad.2xlarge,c5ad,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",8.0,4.0,2.0,16384.0,16.0,"1 x 300 NVMe SSD",300.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.344,251.12,0.1506,109.94,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,required,required,default,supported,800.0,100.0,3200.0,3170.0,396.0,13300.0,required,0.469,342.37,0.459,335.07
c5ad.4xlarge,c5ad,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",16.0,8.0,2.0,32768.0,32.0,"2 x 300 NVMe SSD",600.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.688,502.24,0.2898,211.55,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,required,required,default,supported,1580.0,198.0,6600.0,3170.0,396.0,13300.0,required,0.813,593.49,0.861,628.53
c5ad.8xlarge,c5ad,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",32.0,16.0,2.0,65536.0,64.0,"2 x 600 NVMe SSD",1200.0,"10 Gigabit",0.0,0.0,0,"","",1.376,1004.48,0.6712,489.98,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,required,required,default,supported,3170.0,396.0,13300.0,3170.0,396.0,13300.0,required,1.501,1095.73,1.722,1257.06
c5ad.large,c5ad,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",2.0,1.0,2.0,4096.0,4.0,"1 x 75 NVMe SSD",75.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.086,62.78,0.0299,21.83,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,required,required,default,supported,200.0,25.0,800.0,3170.0,396.0,13300.0,required,0.142,103.66,0.115,83.95
c5ad.xlarge,c5ad,"Compute optimized","AMD EPYC 7R32","AMD Turbo; AVX; AVX2",4.0,2.0,2.0,8192.0,8.0,"1 x 150 NVMe SSD",150.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.172,125.56,0.0697,50.88,3.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,AMD,required,required,default,supported,400.0,50.0,1600.0,3170.0,396.0,13300.0,required,0.228,166.44,0.23,167.9
c5d.12xlarge,c5d,"Compute optimized","Intel Xeon Platinum 8275L","Intel AVX; Intel AVX2; Intel AVX512; Intel Deep Learning Boost; Intel Turbo",48.0,24.0,2.0,98304.0,96.0,"2 x 900 NVMe SSD",1800.0,"12 Gigabit",0.0,0.0,0,"","",2.304,1681.92,0.7994,583.56,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,9500.0,1188.0,40000.0,9500.0,1188.0,40000.0,required,2.404,1754.92,2.822,2060.06
c5d.18xlarge,c5d,"Compute optimized","Intel Xeon Platinum 8124M","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",72.0,36.0,2.0,147456.0,144.0,"2 x 900 NVMe SSD",1800.0,"25 Gigabit",0.0,0.0,0,"","",3.456,2522.88,0.7476,545.75,3.4,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,19000.0,2375.0,80000.0,19000.0,2375.0,80000.0,required,3.556,2595.88,4.234,3090.82
c5d.24xlarge,c5d,"Compute optimized","Intel Xeon Platinum 8275L","Intel AVX; Intel AVX2; Intel AVX512; Intel Deep Learning Boost; Intel Turbo",96.0,48.0,2.0,196608.0,192.0,"4 x 900 NVMe SSD",3600.0,"25 Gigabit",0.0,0.0,0,"","",4.608,3363.84,1.2878,940.09,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,19000.0,2375.0,80000.0,19000.0,2375.0,80000.0,required,4.708,3436.84,5.645,4120.85
