instanceType,vCpus,vCpuCores,memorySizeInGiB,gpuCount,gpuTotalGpuMemoryInGiB,onDemandLinuxHr,spotLinuxHr,vCpuThreadsPerCore,storageTotalSizeInGB,storage,networkPerformance,gpuName,processorClockSpeedInGhz,instanceFamilyName
r5n.4xlarge,16.0,8.0,128.0,0,0.0,1.192,0.5463,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.1,"Memory optimized"
r5n.8xlarge,32.0,16.0,256.0,0,0.0,2.384,0.4597,2.0,0.0,"EBS only","25 Gigabit","",3.1,"Memory optimized"
r5n.large,2.0,1.0,16.0,0,0.0,0.149,0.0503,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.1,"Memory optimized"
r5n.metal,96.0,48.0,768.0,0,0.0,7.152,0.7152,2.0,0.0,"EBS only","100 Gigabit","",3.1,"Memory optimized"
r5n.xlarge,4.0,2.0,32.0,0,0.0,0.298,0.1368,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.1,"Memory optimized"
r6a.12xlarge,48.0,24.0,384.0,0,0.0,2.7216,0.6726,2.0,0.0,"EBS only","18.75 Gigabit","",3.6,"Memory optimized"
r6a.16xlarge,64.0,32.0,512.0,0,0.0,3.6288,0.5814,2.0,0.0,"EBS only","25 Gigabit","",3.6,"Memory optimized"
r6a.24xlarge,96.0,48.0,768.0,0,0.0,5.4432,1.49,2.0,0.0,"EBS only","37.5 Gigabit","",3.6,"Memory optimized"
r6a.2xlarge,8.0,4.0,64.0,0,0.0,0.4536,0.1842,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.6,"Memory optimized"
r6a.32xlarge,128.0,64.0,1024.0,0,0.0,7.2576,0.7297,2.0,0.0,"EBS only","50 Gigabit","",3.6,"Memory optimized"
r6a.48xlarge,192.0,96.0,1536.0,0,0.0,10.8864,2.2312,2.0,0.0,"EBS only","50 Gigabit","",3.6,"Memory optimized"
r6a.4xlarge,16.0,8.0,128.0,0,0.0,0.9072,0.4248,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.6,"Memory optimized"
r6a.8xlarge,32.0,16.0,256.0,0,0.0,1.8144,0.1814,2.0,0.0,"EBS only","12.5 Gigabit","",3.6,"Memory optimized"
r6a.large,2.0,1.0,16.0,0,0.0,0.1134,0.0204,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.6,"Memory optimized"
r6a.metal,192.0,96.0,1536.0,0,0.0,10.8864,2.1482,2.0,0.0,"EBS only","50 Gigabit","",3.6,"Memory optimized"
r6a.xlarge,4.0,2.0,32.0,0,0.0,0.2268,0.0331,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.6,"Memory optimized"
r6g.12xlarge,48.0,48.0,384.0,0,0.0,2.4192,0.3767,1.0,0.0,"EBS only","20 Gigabit","",2.5,"Memory optimized"
r6g.16xlarge,64.0,64.0,512.0,0,0.0,3.2256,0.3226,1.0,0.0,"EBS only","25 Gigabit","",2.5,"Memory optimized"
r6g.2xlarge,8.0,8.0,64.0,0,0.0,0.4032,0.1278,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"Memory optimized"
r6g.4xlarge,16.0,16.0,128.0,0,0.0,0.8064,0.2551,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"Memory optimized"
r6g.8xlarge,32.0,32.0,256.0,0,0.0,1.6128,0.1665,1.0,0.0,"EBS only","12 Gigabit","",2.5,"Memory optimized"
r6g.large,2.0,2.0,16.0,0,0.0,0.1008,0.0247,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"Memory optimized"
r6g.medium,1.0,1.0,8.0,0,0.0,0.0504,0.0157,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"Memory optimized"
r6g.metal,64.0,64.0,512.0,0,0.0,3.2256,0.3278,1.0,0.0,"EBS only","25 Gigabit","",2.5,"Memory optimized"
r6g.xlarge,4.0,4.0,32.0,0,0.0,0.2016,0.0597,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"Memory optimized"
r6gd.12xlarge,48.0,48.0,384.0,0,0.0,2.7648,0.6962,1.0,2850.0,"2 x 1425 NVMe SSD","20 Gigabit","",2.5,"Memory optimized"
r6gd.16xlarge,64.0,64.0,512.0,0,0.0,3.6864,0.7145,1.0,3800.0,"2 x 1900 NVMe SSD","25 Gigabit","",2.5,"Memory optimized"
r6gd.2xlarge,8.0,8.0,64.0,0,0.0,0.4608,0.207,1.0,474.0,"1 x 475 NVMe SSD","Up to 10 Gigabit","",2.5,"Memory optimized"
r6gd.4xlarge,16.0,16.0,128.0,0,0.0,0.9216,0.3222,1.0,950.0,"1 x 950 NVMe SSD","Up to 10 Gigabit","",2.5,"Memory optimized"
r6gd.8xlarge,32.0,32.0,256.0,0,0.0,1.8432,0.557,1.0,1900.0,"1 x 1900 NVMe SSD","12 Gigabit","",2.5,"Memory optimized"
r6gd.large,2.0,2.0,16.0,0,0.0,0.1152,0.0334,1.0,118.0,"1 x 118 NVMe SSD","Up to 10 Gigabit","",2.5,"Memory optimized"
r6gd.medium,1.0,1.0,8.0,0,0.0,0.0576,0.0179,1.0,59.0,"1 x 59 NVMe SSD","Up to 10 Gigabit","",2.5,"Memory optimized"
r6gd.metal,64.0,64.0,512.0,0,0.0,3.6864,0.6004,1.0,3800.0,"2 x 1900 NVMe SSD","25 Gigabit","",2.5,"Memory optimized"
r6gd.xlarge,4.0,4.0,32.0,0,0.0,0.2304,0.1169,1.0,237.0,"1 x 237 NVMe SSD","Up to 10 Gigabit","",2.5,"Memory optimized"
r6i.12xlarge,48.0,24.0,384.0,0,0.0,3.024,0.6429,2.0,0.0,"EBS only","18.75 Gigabit","",3.5,"Memory optimized"
r6i.16xlarge,64.0,32.0,512.0,0,0.0,4.032,0.9642,2.0,0.0,"EBS only","25 Gigabit","",3.5,"Memory optimized"
r6i.24xlarge,96.0,48.0,768.0,0,0.0,6.048,1.5317,2.0,0.0,"EBS only","37.5 Gigabit","",3.5,"Memory optimized"
r6i.2xlarge,8.0,4.0,64.0,0,0.0,0.504,0.1852,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.5,"Memory optimized"
r6i.32xlarge,128.0,64.0,1024.0,0,0.0,8.064,1.8387,2.0,0.0,"EBS only","50 Gigabit","",3.5,"Memory optimized"
r6i.4xlarge,16.0,8.0,128.0,0,0.0,1.008,0.4353,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.5,"Memory optimized"
r6i.8xlarge,32.0,16.0,256.0,0,0.0,2.016,0.4968,2.0,0.0,"EBS only","12.5 Gigabit","",3.5,"Memory optimized"
r6i.large,2.0,1.0,16.0,0,0.0,0.126,0.0329,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.5,"Memory optimized"
r6i.metal,128.0,64.0,1024.0,0,0.0,8.064,1.2498,2.0,0.0,"EBS only","50 Gigabit","",3.5,"Memory optimized"
r6i.xlarge,4.0,2.0,32.0,0,0.0,0.252,0.1025,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.5,"Memory optimized"
r6id.12xlarge,48.0,24.0,384.0,0,0.0,3.6288,1.0941,2.0,2850.0,"2 x 1425 NVMe SSD","18.75 Gigabit","",3.5,"Memory optimized"
