instanceType,vCpus,vCpuCores,memorySizeInGiB,gpuCount,gpuTotalGpuMemoryInGiB,onDemandLinuxHr,spotLinuxHr,vCpuThreadsPerCore,storageTotalSizeInGB,storage,networkPerformance,gpuName,processorClockSpeedInGhz,instanceFamilyName
gr6.8xlarge,32.0,16.0,256.0,1.0,22.0,2.4464,0.9089,2.0,900.0,"2 x 450 GB NVMe SSD","25 Gigabit",L4,3.4,"GPU instance"
h1.16xlarge,64.0,32.0,256.0,0,0.0,3.744,0.8423,2.0,16000.0,"8 x 2000 HDD","25 Gigabit","",2.3,"Storage optimized"
h1.2xlarge,8.0,4.0,32.0,0,0.0,0.468,0.1867,2.0,2000.0,"1 x 2000 HDD","Up to 10 Gigabit","",2.3,"Storage optimized"
h1.4xlarge,16.0,8.0,64.0,0,0.0,0.936,0.1759,2.0,4000.0,"2 x 2000 HDD","Up to 10 Gigabit","",2.3,"Storage optimized"
h1.8xlarge,32.0,16.0,128.0,0,0.0,1.872,0.5437,2.0,8000.0,"4 x 2000 HDD","10 Gigabit","",2.3,"Storage optimized"
hpc7g.16xlarge,64.0,64.0,128.0,0,0.0,1.6832,0.0,1.0,0.0,"EBS only","200 Gigabit","",2.6,"Compute optimized"
hpc7g.4xlarge,16.0,16.0,128.0,0,0.0,1.6832,0.0,1.0,0.0,"EBS only","200 Gigabit","",2.6,"Compute optimized"
hpc7g.8xlarge,32.0,32.0,128.0,0,0.0,1.6832,0.0,1.0,0.0,"EBS only","200 Gigabit","",2.6,"Compute optimized"
i2.2xlarge,8.0,4.0,61.0,0,0.0,1.705,0.1705,2.0,1600.0,"2 x 800 SSD",High,"",2.5,"Storage optimized"
i2.4xlarge,16.0,8.0,122.0,0,0.0,3.41,0.5179,2.0,3200.0,"4 x 800 SSD",High,"",2.5,"Storage optimized"
i2.8xlarge,32.0,16.0,244.0,0,0.0,6.82,0.682,2.0,6400.0,"8 x 800 SSD","10 Gigabit","",2.5,"Storage optimized"
i2.xlarge,4.0,2.0,30.5,0,0.0,0.853,0.0853,2.0,800.0,"1 x 800 SSD",Moderate,"",2.5,"Storage optimized"
i3.16xlarge,64.0,32.0,488.0,0,0.0,4.992,1.5937,2.0,15200.0,"8 x 1900 NVMe SSD","25 Gigabit","",2.3,"Storage optimized"
i3.2xlarge,8.0,4.0,61.0,0,0.0,0.624,0.2728,2.0,1900.0,"1 x 1900 NVMe SSD","Up to 10 Gigabit","",2.3,"Storage optimized"
i3.4xlarge,16.0,8.0,122.0,0,0.0,1.248,0.4475,2.0,3800.0,"2 x 1900 NVMe SSD","Up to 10 Gigabit","",2.3,"Storage optimized"
i3.8xlarge,32.0,16.0,244.0,0,0.0,2.496,0.7389,2.0,7600.0,"4 x 1900 NVMe SSD","10 Gigabit","",2.3,"Storage optimized"
i3.large,2.0,1.0,15.25,0,0.0,0.156,0.016,2.0,475.0,"1 x 475 NVMe SSD","Up to 10 Gigabit","",2.3,"Storage optimized"
i3.metal,72.0,36.0,512.0,0,0.0,4.992,0.5019,2.0,15200.0,"8 x 1900 NVMe SSD","25 Gigabit","",2.3,"Storage optimized"
i3.xlarge,4.0,2.0,30.5,0,0.0,0.312,0.1156,2.0,950.0,"1 x 950 NVMe SSD","Up to 10 Gigabit","",2.3,"Storage optimized"
i3en.12xlarge,48.0,24.0,384.0,0,0.0,5.424,1.8221,2.0,30000.0,"4 x 7500 NVMe SSD","50 Gigabit","",3.1,"Storage optimized"
i3en.24xlarge,96.0,48.0,768.0,0,0.0,10.848,1.6916,2.0,60000.0,"8 x 7500 NVMe SSD","100 Gigabit","",3.1,"Storage optimized"
i3en.2xlarge,8.0,4.0,64.0,0,0.0,0.904,0.2976,2.0,5000.0,"2 x 2500 NVMe SSD","Up to 25 Gigabit","",3.1,"Storage optimized"
i3en.3xlarge,12.0,6.0,96.0,0,0.0,1.356,0.3897,2.0,7500.0,"1 x 7500 NVMe SSD","Up to 25 Gigabit","",3.1,"Storage optimized"
i3en.6xlarge,24.0,12.0,192.0,0,0.0,2.712,0.6841,2.0,15000.0,"2 x 7500 NVMe SSD","25 Gigabit","",3.1,"Storage optimized"
i3en.large,2.0,1.0,16.0,0,0.0,0.226,0.0306,2.0,1250.0,"1 x 1250 NVMe SSD","Up to 25 Gigabit","",3.1,"Storage optimized"
i3en.metal,96.0,48.0,768.0,0,0.0,10.848,1.0848,2.0,60000.0,"8 x 7500 NVMe SSD","100 Gigabit","",3.1,"Storage optimized"
i3en.xlarge,4.0,2.0,32.0,0,0.0,0.452,0.1187,2.0,2500.0,"1 x 2500 NVMe SSD","Up to 25 Gigabit","",3.1,"Storage optimized"
i4g.16xlarge,64.0,64.0,512.0,0,0.0,4.9421,0.6209,1.0,15000.0,"4 x 3750 SSD","37.5 Gigabit","",2.5,"Storage optimized"
i4g.2xlarge,8.0,8.0,64.0,0,0.0,0.6178,0.1591,1.0,1875.0,"1 x 1875 SSD","Up to 12 Gigabit","",2.5,"Storage optimized"
i4g.4xlarge,16.0,16.0,128.0,0,0.0,1.2355,0.4163,1.0,3750.0,"1 x 3750 SSD","Up to 25 Gigabit","",2.5,"Storage optimized"
i4g.8xlarge,32.0,32.0,256.0,0,0.0,2.471,0.9047,1.0,7500.0,"2 x 3750 SSD","18.75 Gigabit","",2.5,"Storage optimized"
i4g.large,2.0,2.0,16.0,0,0.0,0.1544,0.0487,1.0,468.0,"1 x 468 SSD","Up to 10 Gigabit","",2.5,"Storage optimized"
i4g.xlarge,4.0,4.0,32.0,0,0.0,0.3089,0.0884,1.0,937.0,"1 x 937 SSD","Up to 10 Gigabit","",2.5,"Storage optimized"
i4i.12xlarge,48.0,24.0,384.0,0,0.0,4.118,1.3671,2.0,11250.0,"3 x 3750 NVMe SSD","28.12 Gigabit","",3.5,"Storage optimized"
i4i.16xlarge,64.0,32.0,512.0,0,0.0,5.491,1.6613,2.0,15000.0,"4 x 3750 NVMe SSD","37.5 Gigabit","",3.5,"Storage optimized"
i4i.24xlarge,96.0,48.0,768.0,0,0.0,8.2368,1.9259,2.0,22500.0,"6 x 3750 NVMe SSD","56.25 Gigabit","",3.5,"Storage optimized"
i4i.2xlarge,8.0,4.0,64.0,0,0.0,0.686,0.2325,2.0,1875.0,"1 x 1875 NVMe SSD","Up to 12 Gigabit","",3.5,"Storage optimized"
i4i.32xlarge,128.0,64.0,1024.0,0,0.0,10.9824,3.0036,2.0,30000.0,"8 x 3750 SSD","75 Gigabit","",3.5,"Storage optimized"
i4i.4xlarge,16.0,8.0,128.0,0,0.0,1.373,0.626,2.0,3750.0,"1 x 3750 NVMe SSD","Up to 25 Gigabit","",3.5,"Storage optimized"
i4i.8xlarge,32.0,16.0,256.0,0,0.0,2.746,1.1303,2.0,7500.0,"2 x 3750 NVMe SSD","18.75 Gigabit","",3.5,"Storage optimized"
i4i.large,2.0,1.0,16.0,0,0.0,0.172,0.039,2.0,468.0,"1 x 468 NVMe SSD","Up to 10 Gigabit","",3.5,"Storage optimized"
i4i.metal,128.0,64.0,1024.0,0,0.0,10.982,1.0982,2.0,30000.0,"8 x 3750 NVMe SSD","75 Gigabit","",3.5,"Storage optimized"
i4i.xlarge,4.0,2.0,32.0,0,0.0,0.343,0.1134,2.0,937.0,"1 x 937 NVMe SSD","Up to 10 Gigabit","",3.5,"Storage optimized"
i7ie.12xlarge,48.0,24.0,384.0,0,0.0,6.2376,2.3095,2.0,30000.0,"4 x 7500 NVMe SSD","Up to 50 Gigabit","",3.6,"Storage optimized"
i7ie.18xlarge,72.0,36.0,576.0,0,0.0,9.3564,2.672,2.0,45000.0,"6 x 7500 NVMe SSD","Up to 75 Gigabit","",3.6,"Storage optimized"
i7ie.24xlarge,96.0,48.0,768.0,0,0.0,12.4752,3.5466,2.0,60000.0,"8 x 7500 NVMe SSD","Up to 100 Gigabit","",3.6,"Storage optimized"
i7ie.2xlarge,8.0,4.0,64.0,0,0.0,1.0396,0.2998,2.0,5000.0,"2 x 2500 NVMe SSD","Up to 25 Gigabit","",3.6,"Storage optimized"
i7ie.3xlarge,12.0,6.0,96.0,0,0.0,1.5594,0.3791,2.0,7500.0,"1 x 7500 NVMe SSD","Up to 25 Gigabit","",3.6,"Storage optimized"
i7ie.48xlarge,192.0,96.0,1536.0,0,0.0,24.9504,10.883,2.0,120000.0,"16 x 7500 NVMe SSD","100 Gigabit","",3.6,"Storage optimized"
i7ie.6xlarge,24.0,12.0,192.0,0,0.0,3.1188,1.1294,2.0,15000.0,"2 x 7500 NVMe SSD","Up to 25 Gigabit","",3.6,"Storage optimized"
i7ie.large,2.0,1.0,16.0,0,0.0,0.2599,0.0304,2.0,1250.0,"1 x 1250 NVMe SSD","Up to 25 Gigabit","",3.6,"Storage optimized"
i7ie.metal-24xl,96.0,48.0,768.0,0,0.0,12.4752,1.2475,2.0,60000.0,"8 x 7500 NVMe SSD","Up to 100 Gigabit","",3.6,"Storage optimized"
i7ie.metal-48xl,192.0,96.0,1536.0,0,0.0,24.9504,2.495,2.0,120000.0,"16 x 7500 NVMe SSD","100 Gigabit","",3.6,"Storage optimized"
i7ie.xlarge,4.0,2.0,32.0,0,0.0,0.5198,0.1436,2.0,2500.0,"1 x 2500 NVMe SSD","Up to 25 Gigabit","",3.6,"Storage optimized"
i8g.12xlarge,48.0,48.0,384.0,0,0.0,4.1184,0.6737,1.0,11250.0,"3 x 3750GB","Up to 28.12 Gigabit","",2.8,"Storage optimized"
i8g.16xlarge,64.0,64.0,512.0,0,0.0,5.4912,0.8412,1.0,15000.0,"4 x 3750GB","Up to 37.5 Gigabit","",2.8,"Storage optimized"
i8g.24xlarge,96.0,96.0,768.0,0,0.0,8.2368,1.2879,1.0,22500.0,"6 x 3750GB","Up to 56.25 Gigabit","",2.8,"Storage optimized"
i8g.2xlarge,8.0,8.0,64.0,0,0.0,0.6864,0.1473,1.0,1875.0,"1 x 1875GB","Up to 12 Gigabit","",2.8,"Storage optimized"
i8g.48xlarge,192.0,192.0,1536.0,0,0.0,16.4736,0.0,1.0,45000.0,"12 x 3750GB","Up to 100 Gigabit","",2.8,"Storage optimized"
i8g.4xlarge,16.0,16.0,128.0,0,0.0,1.3728,0.189,1.0,3750.0,"1 x 3750GB","Up to 25 Gigabit","",2.8,"Storage optimized"
i8g.8xlarge,32.0,32.0,256.0,0,0.0,2.7456,0.6659,1.0,7500.0,"2 x 3750GB","Up to 25 Gigabit","",2.8,"Storage optimized"
i8g.large,2.0,2.0,16.0,0,0.0,0.1716,0.0519,1.0,468.0,"1 x 468GB","Up to 10 Gigabit","",2.8,"Storage optimized"
i8g.metal-24xl,96.0,96.0,768.0,0,0.0,8.2368,0.8237,1.0,22500.0,"6 x 3750GB","Up to 56.25 Gigabit","",2.8,"Storage optimized"
i8g.xlarge,4.0,4.0,32.0,0,0.0,0.3432,0.0769,1.0,937.0,"1 x 937GB","Up to 10 Gigabit","",2.8,"Storage optimized"
im4gn.16xlarge,64.0,64.0,256.0,0,0.0,5.8207,0.5876,1.0,30000.0,"4 x 7500 SSD","100 Gigabit","",2.5,"Storage optimized"
im4gn.2xlarge,8.0,8.0,32.0,0,0.0,0.7276,0.1719,1.0,3750.0,"1 x 3750 SSD","Up to 25 Gigabit","",2.5,"Storage optimized"
im4gn.4xlarge,16.0,16.0,64.0,0,0.0,1.4552,0.1501,1.0,7500.0,"1 x 7500 SSD","25 Gigabit","",2.5,"Storage optimized"
im4gn.8xlarge,32.0,32.0,128.0,0,0.0,2.9103,0.291,1.0,15000.0,"2 x 7500 SSD","50 Gigabit","",2.5,"Storage optimized"
im4gn.large,2.0,2.0,8.0,0,0.0,0.1819,0.0514,1.0,937.0,"1 x 937 SSD","Up to 25 Gigabit","",2.5,"Storage optimized"
im4gn.xlarge,4.0,4.0,16.0,0,0.0,0.3638,0.0841,1.0,1875.0,"1 x 1875 SSD","Up to 25 Gigabit","",2.5,"Storage optimized"
inf1.24xlarge,96.0,48.0,192.0,0,0.0,4.721,0.769,2.0,0.0,"EBS only","100 Gigabit","",2.5,"Machine Learning ASIC Instances"
inf1.2xlarge,8.0,4.0,16.0,0,0.0,0.362,0.0826,2.0,0.0,"EBS only","Up to 25 Gigabit","",2.5,"Machine Learning ASIC Instances"
inf1.6xlarge,24.0,12.0,48.0,0,0.0,1.18,0.2889,2.0,0.0,"EBS only","25 Gigabit","",2.5,"Machine Learning ASIC Instances"
inf1.xlarge,4.0,2.0,8.0,0,0.0,0.228,0.0498,2.0,0.0,"EBS only","Up to 25 Gigabit","",2.5,"Machine Learning ASIC Instances"
inf2.24xlarge,96.0,48.0,384.0,0,0.0,6.4906,1.2588,2.0,0.0,"EBS only","50 Gigabit","",3.6,"Machine Learning ASIC Instances"
inf2.48xlarge,192.0,96.0,768.0,0,0.0,12.9813,1.2981,2.0,0.0,"EBS only","100 Gigabit","",3.6,"Machine Learning ASIC Instances"
inf2.8xlarge,32.0,16.0,128.0,0,0.0,1.9679,0.4262,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.6,"Machine Learning ASIC Instances"
inf2.xlarge,4.0,2.0,16.0,0,0.0,0.7582,0.1257,2.0,0.0,"EBS only","Up to 15 Gigabit","",3.6,"Machine Learning ASIC Instances"
is4gen.2xlarge,8.0,8.0,48.0,0,0.0,1.1526,0.3177,1.0,7500.0,"1 x 7500 SSD","Up to 25 Gigabit","",2.5,"Storage optimized"
is4gen.4xlarge,16.0,16.0,96.0,0,0.0,2.3052,0.6758,1.0,15000.0,"2 x 7500 SSD","25 Gigabit","",2.5,"Storage optimized"
is4gen.8xlarge,32.0,32.0,192.0,0,0.0,4.6104,0.461,1.0,30000.0,"4 x 7500 SSD","50 Gigabit","",2.5,"Storage optimized"
is4gen.large,2.0,2.0,12.0,0,0.0,0.2882,0.0752,1.0,1875.0,"1 x 1875 SSD","Up to 25 Gigabit","",2.5,"Storage optimized"
is4gen.medium,1.0,1.0,6.0,0,0.0,0.1441,0.0144,1.0,937.0,"1 x 937 SSD","Up to 25 Gigabit","",2.5,"Storage optimized"
is4gen.xlarge,4.0,4.0,24.0,0,0.0,0.5763,0.1516,1.0,3750.0,"1 x 3750 SSD","Up to 25 Gigabit","",2.5,"Storage optimized"
m1.large,2.0,2.0,7.5,0,0.0,0.175,0.0361,1.0,840.0,"2 x 420 SSD",Moderate,"",0.0,"General purpose"
m1.medium,1.0,1.0,3.7,0,0.0,0.087,0.0089,1.0,410.0,"1 x 410 SSD",Moderate,"",0.0,"General purpose"
m1.small,1.0,1.0,1.7,0,0.0,0.044,0.0044,1.0,160.0,"1 x 160 SSD",Low,"",0.0,"General purpose"
m1.xlarge,4.0,4.0,15.0,0,0.0,0.35,0.0874,1.0,1680.0,"4 x 420 SSD",High,"",0.0,"General purpose"
m2.2xlarge,4.0,4.0,34.2,0,0.0,0.49,0.0834,1.0,850.0,"1 x 850 SSD",Moderate,"",0.0,"Memory optimized"
m2.4xlarge,8.0,8.0,68.4,0,0.0,0.98,0.2304,1.0,1680.0,"2 x 840 SSD",High,"",0.0,"Memory optimized"
m2.xlarge,2.0,2.0,17.1,0,0.0,0.245,0.0543,1.0,420.0,"1 x 420 SSD",Moderate,"",0.0,"Memory optimized"
m3.2xlarge,8.0,4.0,30.0,0,0.0,0.532,0.1632,2.0,160.0,"2 x 80 SSD",High,"",2.5,"General purpose"
m3.large,2.0,1.0,7.5,0,0.0,0.133,0.0322,2.0,32.0,"1 x 32 SSD",Moderate,"",2.5,"General purpose"
m3.medium,1.0,1.0,3.75,0,0.0,0.067,0.0104,1.0,4.0,"1 x 4 SSD",Moderate,"",2.5,"General purpose"
m3.xlarge,4.0,2.0,15.0,0,0.0,0.266,0.0787,2.0,80.0,"2 x 40 SSD",High,"",2.5,"General purpose"
m4.10xlarge,40.0,20.0,160.0,0,0.0,2.0,0.4184,2.0,0.0,"EBS only","10 Gigabit","",2.4,"General purpose"
m4.16xlarge,64.0,32.0,256.0,0,0.0,3.2,1.0341,2.0,0.0,"EBS only","25 Gigabit","",2.3,"General purpose"
m4.2xlarge,8.0,4.0,32.0,0,0.0,0.4,0.145,2.0,0.0,"EBS only",High,"",2.4,"General purpose"
m4.4xlarge,16.0,8.0,64.0,0,0.0,0.8,0.2243,2.0,0.0,"EBS only",High,"",2.4,"General purpose"
m4.large,2.0,1.0,8.0,0,0.0,0.1,0.0328,2.0,0.0,"EBS only",Moderate,"",2.4,"General purpose"
m4.xlarge,4.0,2.0,16.0,0,0.0,0.2,0.0668,2.0,0.0,"EBS only",High,"",2.4,"General purpose"
m5.12xlarge,48.0,24.0,192.0,0,0.0,2.304,0.6153,2.0,0.0,"EBS only","12 Gigabit","",3.1,"General purpose"
m5.16xlarge,64.0,32.0,256.0,0,0.0,3.072,0.7162,2.0,0.0,"EBS only","20 Gigabit","",3.1,"General purpose"
m5.24xlarge,96.0,48.0,384.0,0,0.0,4.608,1.1174,2.0,0.0,"EBS only","25 Gigabit","",3.1,"General purpose"
m5.2xlarge,8.0,4.0,32.0,0,0.0,0.384,0.1482,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.1,"General purpose"
m5.4xlarge,16.0,8.0,64.0,0,0.0,0.768,0.2767,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.1,"General purpose"
m5.8xlarge,32.0,16.0,128.0,0,0.0,1.536,0.4257,2.0,0.0,"EBS only","10 Gigabit","",3.1,"General purpose"
m5.large,2.0,1.0,8.0,0,0.0,0.096,0.0294,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.1,"General purpose"
m5.metal,96.0,48.0,384.0,0,0.0,4.608,0.6023,2.0,0.0,"EBS only","25 Gigabit","",3.1,"General purpose"
m5.xlarge,4.0,2.0,16.0,0,0.0,0.192,0.0632,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.1,"General purpose"
m5a.12xlarge,48.0,24.0,192.0,0,0.0,2.064,0.4774,2.0,0.0,"EBS only","10 Gigabit","",2.5,"General purpose"
m5a.16xlarge,64.0,32.0,256.0,0,0.0,2.752,0.8935,2.0,0.0,"EBS only","12 Gigabit","",2.5,"General purpose"
m5a.24xlarge,96.0,48.0,384.0,0,0.0,4.128,1.2779,2.0,0.0,"EBS only","20 Gigabit","",2.5,"General purpose"
m5a.2xlarge,8.0,4.0,32.0,0,0.0,0.344,0.1586,2.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"General purpose"
m5a.4xlarge,16.0,8.0,64.0,0,0.0,0.688,0.2746,2.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"General purpose"
m5a.8xlarge,32.0,16.0,128.0,0,0.0,1.376,0.3643,2.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"General purpose"
m5a.large,2.0,1.0,8.0,0,0.0,0.086,0.0295,2.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"General purpose"
m5a.xlarge,4.0,2.0,16.0,0,0.0,0.172,0.0771,2.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"General purpose"
m5ad.12xlarge,48.0,24.0,192.0,0,0.0,2.472,0.9039,2.0,1800.0,"2 x 900 NVMe SSD","10 Gigabit","",2.2,"General purpose"
m5ad.16xlarge,64.0,32.0,256.0,0,0.0,3.296,1.3276,2.0,2400.0,"4 x 600 NVMe SSD","12 Gigabit","",2.5,"General purpose"
m5ad.24xlarge,96.0,48.0,384.0,0,0.0,4.944,3.1286,2.0,3600.0,"4 x 900 NVMe SSD","20 Gigabit","",2.2,"General purpose"
m5ad.2xlarge,8.0,4.0,32.0,0,0.0,0.412,0.2549,2.0,300.0,"1 x 300 NVMe SSD","Up to 10 Gigabit","",2.2,"General purpose"
m5ad.4xlarge,16.0,8.0,64.0,0,0.0,0.824,0.4157,2.0,600.0,"2 x 300 NVMe SSD","Up to 10 Gigabit","",2.2,"General purpose"
m5ad.8xlarge,32.0,16.0,128.0,0,0.0,1.648,0.6994,2.0,1200.0,"2 x 600 NVMe SSD","Up to 10 Gigabit","",2.5,"General purpose"
m5ad.large,2.0,1.0,8.0,0,0.0,0.103,0.0416,2.0,75.0,"1 x 75 NVMe SSD","Up to 10 Gigabit","",2.2,"General purpose"
m5ad.xlarge,4.0,2.0,16.0,0,0.0,0.206,0.1097,2.0,150.0,"1 x 150 NVMe SSD","Up to 10 Gigabit","",2.2,"General purpose"
m5d.12xlarge,48.0,24.0,192.0,0,0.0,2.712,1.0477,2.0,1800.0,"2 x 900 NVMe SSD","12 Gigabit","",3.1,"General purpose"
m5d.16xlarge,64.0,32.0,256.0,0,0.0,3.616,1.3537,2.0,2400.0,"4 x 600 NVMe SSD","20 Gigabit","",3.1,"General purpose"
m5d.24xlarge,96.0,48.0,384.0,0,0.0,5.424,2.5878,2.0,3600.0,"4 x 900 NVMe SSD","25 Gigabit","",3.1,"General purpose"
m5d.2xlarge,8.0,4.0,32.0,0,0.0,0.452,0.2492,2.0,300.0,"1 x 300 NVMe SSD","Up to 10 Gigabit","",3.1,"General purpose"
m5d.4xlarge,16.0,8.0,64.0,0,0.0,0.904,0.3891,2.0,600.0,"2 x 300 NVMe SSD","Up to 10 Gigabit","",3.1,"General purpose"
m5d.8xlarge,32.0,16.0,128.0,0,0.0,1.808,0.7894,2.0,1200.0,"2 x 600 NVMe SSD","10 Gigabit","",3.1,"General purpose"
m5d.large,2.0,1.0,8.0,0,0.0,0.113,0.04,2.0,75.0,"1 x 75 NVMe SSD","Up to 10 Gigabit","",3.1,"General purpose"
m5d.metal,96.0,48.0,384.0,0,0.0,5.424,1.0981,2.0,3600.0,"4 x 900 NVMe SSD","25 Gigabit","",3.1,"General purpose"
m5d.xlarge,4.0,2.0,16.0,0,0.0,0.226,0.1004,2.0,150.0,"1 x 150 NVMe SSD","Up to 10 Gigabit","",3.1,"General purpose"
m5dn.12xlarge,48.0,24.0,192.0,0,0.0,3.264,0.7399,2.0,1800.0,"2 x 900 GB NVMe SSD","50 Gigabit","",3.1,"General purpose"
m5dn.16xlarge,64.0,32.0,256.0,0,0.0,4.352,1.2458,2.0,2400.0,"4 x 600 NVMe SSD","75 Gigabit","",3.1,"General purpose"
m5dn.24xlarge,96.0,48.0,384.0,0,0.0,6.528,2.2529,2.0,3600.0,"4 x 900 NVMe SSD","100 Gigabit","",3.1,"General purpose"
m5dn.2xlarge,8.0,4.0,32.0,0,0.0,0.544,0.2446,2.0,300.0,"1 x 300 NVMe SSD","Up to 25 Gigabit","",3.1,"General purpose"
m5dn.4xlarge,16.0,8.0,64.0,0,0.0,1.088,0.4881,2.0,600.0,"2 x 300 NVMe SSD","Up to 25 Gigabit","",3.1,"General purpose"
m5dn.8xlarge,32.0,16.0,128.0,0,0.0,2.176,0.8762,2.0,1200.0,"2 x 600 NVMe SSD","25 Gigabit","",3.1,"General purpose"
m5dn.large,2.0,1.0,8.0,0,0.0,0.136,0.0392,2.0,75.0,"1 x 75 NVMe SSD","Up to 25 Gigabit","",3.1,"General purpose"
m5dn.metal,96.0,48.0,384.0,0,0.0,6.528,0.6528,2.0,3600.0,"4 x 900 NVMe SSD","100 Gigabit","",3.1,"General purpose"
m5dn.xlarge,4.0,2.0,16.0,0,0.0,0.272,0.0969,2.0,150.0,"1 x 150 NVMe SSD","Up to 25 Gigabit","",3.1,"General purpose"
m5n.12xlarge,48.0,24.0,192.0,0,0.0,2.856,1.1023,2.0,0.0,"EBS only","50 Gigabit","",3.1,"General purpose"
m5n.16xlarge,64.0,32.0,256.0,0,0.0,3.808,1.3194,2.0,0.0,"EBS only","75 Gigabit","",3.1,"General purpose"
m5n.24xlarge,96.0,48.0,384.0,0,0.0,5.712,1.7832,2.0,0.0,"EBS only","100 Gigabit","",3.1,"General purpose"
m5n.2xlarge,8.0,4.0,32.0,0,0.0,0.476,0.2482,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.1,"General purpose"
m5n.4xlarge,16.0,8.0,64.0,0,0.0,0.952,0.4203,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.1,"General purpose"
m5n.8xlarge,32.0,16.0,128.0,0,0.0,1.904,0.8015,2.0,0.0,"EBS only","25 Gigabit","",3.1,"General purpose"
m5n.large,2.0,1.0,8.0,0,0.0,0.119,0.0447,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.1,"General purpose"
m5n.metal,96.0,48.0,384.0,0,0.0,5.712,1.4486,2.0,0.0,"EBS only","100 Gigabit","",3.1,"General purpose"
m5n.xlarge,4.0,2.0,16.0,0,0.0,0.238,0.0758,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.1,"General purpose"
m5zn.12xlarge,48.0,24.0,192.0,0,0.0,3.9641,1.7569,2.0,0.0,"EBS only","100 Gigabit","",4.5,"General purpose"
m5zn.2xlarge,8.0,4.0,32.0,0,0.0,0.6607,0.2613,2.0,0.0,"EBS only","Up to 25 Gigabit","",4.5,"General purpose"
m5zn.3xlarge,12.0,6.0,48.0,0,0.0,0.991,0.5562,2.0,0.0,"EBS only","Up to 25 Gigabit","",4.5,"General purpose"
m5zn.6xlarge,24.0,12.0,96.0,0,0.0,1.982,1.0055,2.0,0.0,"EBS only","50 Gigabit","",4.5,"General purpose"
m5zn.large,2.0,1.0,8.0,0,0.0,0.1652,0.045,2.0,0.0,"EBS only","Up to 25 Gigabit","",4.5,"General purpose"
m5zn.metal,48.0,24.0,192.0,0,0.0,3.9641,0.674,2.0,0.0,"EBS only","100 Gigabit","",4.5,"General purpose"
m5zn.xlarge,4.0,2.0,16.0,0,0.0,0.3303,0.1515,2.0,0.0,"EBS only","Up to 25 Gigabit","",4.5,"General purpose"
m6a.12xlarge,48.0,24.0,192.0,0,0.0,2.0736,0.5357,2.0,0.0,"EBS only","18.75 Gigabit","",3.6,"General purpose"
m6a.16xlarge,64.0,32.0,256.0,0,0.0,2.7648,0.9981,2.0,0.0,"EBS only","25 Gigabit","",3.6,"General purpose"
m6a.24xlarge,96.0,48.0,384.0,0,0.0,4.1472,0.8836,2.0,0.0,"EBS only","37.5 Gigabit","",3.6,"General purpose"
m6a.2xlarge,8.0,4.0,32.0,0,0.0,0.3456,0.1625,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.6,"General purpose"
m6a.32xlarge,128.0,64.0,512.0,0,0.0,5.5296,1.368,2.0,0.0,"EBS only","50 Gigabit","",3.6,"General purpose"
m6a.48xlarge,192.0,96.0,768.0,0,0.0,8.2944,1.3386,2.0,0.0,"EBS only","50 Gigabit","",3.6,"General purpose"
m6a.4xlarge,16.0,8.0,64.0,0,0.0,0.6912,0.2727,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.6,"General purpose"
m6a.8xlarge,32.0,16.0,128.0,0,0.0,1.3824,0.4503,2.0,0.0,"EBS only","12.5 Gigabit","",3.6,"General purpose"
m6a.large,2.0,1.0,8.0,0,0.0,0.0864,0.0289,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.6,"General purpose"
m6a.metal,192.0,96.0,768.0,0,0.0,8.2944,1.3622,2.0,0.0,"EBS only","50 Gigabit","",3.6,"General purpose"
m6a.xlarge,4.0,2.0,16.0,0,0.0,0.1728,0.0674,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.6,"General purpose"
m6g.12xlarge,48.0,48.0,192.0,0,0.0,1.848,0.3854,1.0,0.0,"EBS only","20 Gigabit","",2.5,"General purpose"
m6g.16xlarge,64.0,64.0,256.0,0,0.0,2.464,0.4465,1.0,0.0,"EBS only","25 Gigabit","",2.5,"General purpose"
m6g.2xlarge,8.0,8.0,32.0,0,0.0,0.308,0.1037,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"General purpose"
m6g.4xlarge,16.0,16.0,64.0,0,0.0,0.616,0.1909,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"General purpose"
